beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.0985483091989785,1.0208052117053847,1.0345440110232649,0.7805227284611931,1.1912732,0.7867005,1.2001641,0.7928343,0.8990791,0.73952353
0.9,0.0873962967975382,1.014703172987928,1.0160706055911446,0.7714010972895424,1.0961601734161377,0.7820037603378296,1.3150262832641602,0.8678186535835266,0.8766278624534607,0.7280237674713135
0.8,0.0573563215157612,1.0848399415014085,1.0630512774405354,0.792572566220513,1.0990415811538696,0.7457593679428101,1.2843306064605713,0.8204190731048584,0.896004319190979,0.7383729815483093
0.7,0.0544331429513015,1.0542193783692595,1.0499446202528138,0.7867823157747024,1.1613426208496094,0.7968303561210632,1.187572956085205,0.7978028655052185,0.87835294008255,0.7282834053039551
0.6,0.0410139106636262,1.048135668447875,1.0559174058184486,0.7937170781773168,1.359225511550903,0.8696861267089844,1.140344738960266,0.8119133114814758,0.8859798908233643,0.7344378232955933
0.5,0.0309001079547639,1.072852948450823,1.0655873917904588,0.7903724881840404,1.2443293333053589,0.8275187015533447,1.2575583457946775,0.8620826005935669,0.8643198013305664,0.7187735438346863
0.4,0.0252973851116918,1.065556619416418,1.0622585189576728,0.7932324721238474,1.4348201751708984,0.8914700746536255,1.1468174457550049,0.8181350231170654,0.8798847198486328,0.7280629277229309
0.3,0.0227437017327974,1.0673028760911625,1.0916033739843414,0.8003358090023072,1.4759002923965454,0.8813273906707764,1.2962346076965332,0.8371007442474365,0.9039523601531982,0.7379335165023804
0.2,0.0194566970403065,1.0937408986898278,1.122486482978223,0.8145076826467252,1.14494526386261,0.8347508311271667,1.24960196018219,0.8280466198921204,0.9280601739883424,0.7422796487808228
0.1,0.020408978848817278,1.029772775426292,1.0603762982971106,0.7930689422838352,1.322455644607544,0.93733149766922,1.1557056903839111,0.8175573945045471,0.880001962184906,0.7262058258056641
