beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.7286643876049087,0.7725060694854129,0.8052073189206197,0.7035417353868365,0.9558057,0.7947956,0.77725494,0.69869864,0.8062627,0.7010518
0.9,0.7255060894852404,0.7701257187560044,0.8014682312352125,0.7038545690440369,0.9768451452255248,0.8055488467216492,0.7869196534156799,0.7069997787475586,0.7921003699302673,0.6938902735710144
0.8,0.7220324616501339,0.7755882614759048,0.8088166046326988,0.7073444616925783,0.9803743958473206,0.8094456195831299,0.8004323244094849,0.7155032753944397,0.795470654964447,0.6961908340454102
0.7,0.6776431559662095,0.764452837076349,0.7972576984196397,0.70337004848693,0.9862922430038452,0.8081796169281006,0.8016237020492554,0.7098923325538635,0.7711808085441589,0.6872061491012573
0.6,0.6579619215601716,0.7904876261219792,0.824557781996391,0.7131050050547864,1.0198055505752563,0.821823000907898,0.8177725672721863,0.7143731117248535,0.8100997805595398,0.7020633816719055
0.5,0.6303769703583876,0.8117199606926759,0.8459902683525663,0.7233886732805843,1.0489039421081543,0.8378972411155701,0.8334596753120422,0.720726728439331,0.832809567451477,0.7110150456428528
0.4,0.5865900136029667,0.8638126923929266,0.8971164123643499,0.7431457920101895,1.0061087608337402,0.8061355948448181,0.8768838047981262,0.7340418696403503,0.8889937996864319,0.7350609302520752
0.3,0.5068441615465709,0.9492551992122696,0.978677781921883,0.7767695828185432,1.1102986335754397,0.8562642335891724,0.9446742534637452,0.7610170841217041,0.9971095323562622,0.776243269443512
0.2,0.3170932717299365,1.1246424743918646,1.1511039986801173,0.8402327782801237,1.1095186471939087,0.8469527959823608,1.0511621236801147,0.8049745559692383,1.218991756439209,0.8593122363090515
0.1,0.1161812678474615,1.28182335218009,1.3153218961493098,0.9010343072937989,1.1931520700454712,0.8782598972320557,1.16289222240448,0.8433523774147034,1.4358304738998413,0.9410285353660583
