beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.7286887406737766,0.7696731324724265,0.800104049354479,0.7031634013029026,0.9877052307128906,0.8137210607528687,0.7818174362182617,0.7057140469551086,0.7895501255989075,0.6929584741592407
0.9,0.7256663793157488,0.7814231662408214,0.813172570436857,0.7108890661941641,1.0479978322982788,0.8420670628547668,0.7942717671394348,0.7132737040519714,0.7966269850730896,0.6968293190002441
0.8,0.7231224251112014,0.8010800458260762,0.8320399503848785,0.7196491325396547,1.1095439195632937,0.8634582757949829,0.8216009736061096,0.7270455360412598,0.8104904890060425,0.7041078805923462
0.7,0.6637199231883911,0.8027210517294299,0.8351394038384263,0.7218314892748345,1.132168173789978,0.8726701736450195,0.845538318157196,0.7330374121665955,0.8059240579605103,0.7025437355041504
0.6,0.6512753533052643,0.8425119746078052,0.8734682478938532,0.7377351676609708,1.1560819149017334,0.8741475343704224,0.8586365580558777,0.7360616326332092,0.8518103957176208,0.7222870588302612
0.5,0.6209478498863757,0.8827396948376656,0.9111724899186716,0.7519192186243955,1.1251938343048096,0.8626068234443665,0.9018223881721495,0.7550610899925232,0.9009193778038024,0.7427780628204346
0.4,0.5787836215526582,0.9450132700917564,0.9803147486948798,0.7799729430967716,1.2251112461090088,0.8981648683547974,0.9777594804763794,0.7796729207038879,0.9754223823547364,0.7741584181785583
0.3,0.5025848162523856,1.0547131602492432,1.0940568326007185,0.8293278684122316,1.337081789970398,0.9606446623802184,1.0637069940567017,0.8250269889831543,1.0903223752975464,0.8223257660865784
0.2,0.3393483227848449,1.1730471806370617,1.2439048663565824,0.8785886281439518,1.372138738632202,0.9754905700683594,1.1502047777175903,0.8456367254257202,1.311509370803833,0.8975786566734314
0.1,0.1350317180074448,2.143575839895272,2.286827433867796,1.197307478012354,1.7863231897354126,1.0336251258850098,1.8545162677764893,1.053088665008545,2.7638819217681885,1.351311445236206
