beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.1781507010969956,1.266751187492271,1.307493630370617,0.8925416002308888,1.358625,0.9237674,1.1489755,0.8388388,1.331581,0.90105736
0.9,0.1798799978105736,1.2329968383703391,1.262927127513217,0.8784360140979791,1.3727333545684814,0.9035575985908508,1.2073643207550049,0.8517555594444275,1.280908226966858,0.8874692916870117
0.8,0.1683607331635928,1.242743899812098,1.2773983931745596,0.8873818013183011,1.4840158224105835,0.9643800258636476,1.2845361232757568,0.8987762928009033,1.248877763748169,0.8762333393096924
0.7,0.0569213855023768,1.3776199899120192,1.3535069824491532,0.9150458730408132,1.5133590698242188,0.9618635773658752,1.4185258150100708,0.9442981481552124,1.292121410369873,0.8932341933250427
0.6,0.0476495946075947,1.3555195326941838,1.3930227629211744,0.9244697919763656,1.7169394493103027,1.0229849815368652,1.461190700531006,0.941512405872345,1.3133811950683594,0.8948737978935242
0.5,0.0376705034466444,1.4026609547890898,1.37686042940352,0.9229810585379362,1.7089329957962036,1.028170108795166,1.5446593761444092,0.9767337441444396,1.303303837776184,0.8990946412086487
0.4,0.0312416690133678,1.4292494416478467,1.4268487339981433,0.9404979751952228,1.6805983781814575,1.0316565036773682,1.456818699836731,0.9397321343421936,1.3805755376815796,0.9244385361671448
0.3,0.028857509720044,1.408600569809747,1.3921034564433972,0.9335640547905248,1.604604721069336,1.030427098274231,1.4765278100967407,0.9582719802856444,1.301638126373291,0.9022349715232848
0.3,0.028857509720044,1.408600569809747,1.3921034564433972,0.9335640547905248,1.604604721069336,1.030427098274231,1.4765278100967407,0.9582719802856444,1.301638126373291,0.9022349715232848
0.1,0.027837897337470587,1.2913123881350996,1.2672652410751666,0.8901121728375858,1.7505701780319214,1.0413455963134766,1.3676730394363403,0.9325962662696838,1.1790156364440918,0.8548468351364136
