beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.7293383488217018,0.7539590342287449,0.7616299186702675,0.6887569781921696,0.95583886,0.7948141,0.7970825,0.70822823,0.73364085,0.6743193
0.9,0.727936017588625,0.7564311281926706,0.764066255040884,0.6883560120618123,0.9658121466636658,0.7892454862594604,0.800277829170227,0.7063770890235901,0.7368716597557068,0.6744434237480164
0.8,0.7251170539536299,0.7597755391757648,0.7674843407610619,0.6901560967644791,0.9795125126838684,0.7965003252029419,0.8071988821029663,0.7099356651306152,0.7377302646636963,0.6756259799003601
0.7,0.6972777682763646,0.7575530465613601,0.764439676239009,0.6862004583212302,0.991094708442688,0.7957252264022827,0.8130951523780823,0.7100961208343506,0.7316809892654419,0.6708663105964661
0.6,0.660627355941543,0.7721026577536374,0.7781515235700867,0.6911390701921777,0.9994553327560424,0.7972634434700012,0.8233602643013,0.7168157696723938,0.7500832080841064,0.6762465238571167
0.5,0.6296689394330411,0.8025633885618944,0.8124581922266051,0.7031308649157572,1.0521153211593628,0.814534604549408,0.8566330671310425,0.7214661836624146,0.7863903641700745,0.6908910274505615
0.4,0.5919203819995891,0.8440372152543261,0.8514657706075804,0.7244393899108005,1.075384497642517,0.8276915550231934,0.8801946043968201,0.7391955256462097,0.8310797810554504,0.7105988264083862
0.3,0.5120860710066157,0.9548788872165922,0.9676139238727658,0.7720962499743286,1.1082501411437988,0.8480144739151001,0.9893468022346495,0.7885173559188843,0.9691603779792786,0.7662374377250671
0.2,0.3151459348392737,1.1514753859036346,1.1471933486199022,0.8363735147593557,1.2354949712753296,0.8876281380653381,1.0901532173156738,0.8268682956695557,1.2090126276016235,0.8536551594734192
0.1,0.11581044023130371,1.320595937680955,1.3123350792179618,0.8956342211969499,1.1975852251052856,0.8569789528846741,1.159226894378662,0.8338697552680969,1.4628655910491943,0.9480919241905212
