beta,train_mse_all,val_mse_all,test_mse_all,test_mae_all,test_mse_low,test_mae_low,test_mse_med,test_mae_med,test_mse_high,test_mae_high
1.0,0.7286887406737766,0.7696731324724265,0.800104049354479,0.7031634013029026,0.9877052307128906,0.8137210607528687,0.7818174362182617,0.7057140469551086,0.7895501255989075,0.6929584741592407
0.9,0.7555989518676691,0.7787388808055473,0.8092663218868064,0.708709729145383,1.0172866582870483,0.829801619052887,0.7855079174041748,0.7073951363563538,0.7969417572021484,0.6984384655952454
0.8,0.7823927933607449,0.7924140876450737,0.819463861656643,0.7150953918835591,1.0392988920211792,0.8379418849945068,0.7963319420814514,0.7130693197250366,0.8072190284729004,0.7041851878166199
0.7,0.8252641359287026,0.8215865538287361,0.8423770181625503,0.725291470678047,1.05881667137146,0.8504390120506287,0.8141368627548218,0.7187014222145081,0.827580451965332,0.7135074734687805
0.6,0.8490565549640793,0.8339042459773239,0.8535297657575635,0.7319847325255359,1.0895318984985352,0.870141327381134,0.8353465795516968,0.7314528226852417,0.8312358856201172,0.7162056565284729
0.5,0.8666707056026443,0.8468766970152869,0.8660752801477997,0.73517171909208,1.060312032699585,0.8530706167221069,0.8406059741973877,0.726652979850769,0.8539806604385376,0.725941002368927
0.4,0.8844750617555905,0.8638557946865292,0.8820933749066913,0.7433483373045384,1.085720181465149,0.8637985587120056,0.8688684105873108,0.7424643635749817,0.8652372360229492,0.7313919067382812
0.3,0.897930858188431,0.8821321415583122,0.8996958228705481,0.7539750979774412,1.1071170568466187,0.8807214498519897,0.899055004119873,0.7565409541130066,0.8777695298194885,0.7384486794471741
0.2,0.9223492873584288,0.9125012371867396,0.9315940667416834,0.7648548834368013,1.098498821258545,0.8728989362716675,0.9123769998550415,0.7548350691795349,0.9251329898834229,0.7585570216178894
0.1,0.9420593999407431,0.936678290676616,0.9519155898696736,0.7758269395227132,1.0975409746170044,0.874721109867096,0.9268919229507446,0.7650275230407715,0.9449367523193359,0.7684975862503052
